state,zipcode,city,agegroup,gender,employment,occupation,template,spanish,extra_qualifs,internshipflag,customerservice,cpr,techskills,wpm,grammar,college,employeemonth,volunteer,skill,callback,adtitle,type
California,3,los angeles,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant leading media firm k,Y
California,2,los angeles,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant leading media firm k,OH
California,1,los angeles,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant leading media firm k,OBE
Florida,2,miami,2,0,1,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,sales associate designer part time,MB
Florida,3,miami,1,0,1,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,sales associate designer part time,Y
Florida,1,miami,2,0,1,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,sales associate designer part time,MH
Texas,3,houston,1,0,1,sales, B,1,0,0,1,0,0,0,0,1,1,1,1,1,pottery barn kids now hiring,Y
Texas,2,houston,2,0,1,sales, A,1,1,0,1,0,0,0,0,0,1,1,1,1,pottery barn kids now hiring,ML
Texas,1,houston,2,0,1,sales, C,0,0,0,1,0,0,0,1,1,1,1,1,1,pottery barn kids now hiring,MH
Illinois,3,chicago,3,0,1,sales, B,1,1,0,0,0,0,0,1,1,1,0,1,0,aveda salon coordinator receptionist retail sales,OBL
Illinois,2,chicago,3,0,1,sales, A,1,1,0,1,0,0,0,0,1,0,1,1,0,aveda salon coordinator receptionist retail sales,OH
Illinois,1,chicago,1,0,1,sales, C,0,1,0,1,0,0,0,0,1,1,1,1,0,aveda salon coordinator receptionist retail sales,Y
Utah,2,salt lake city,2,1,0,admin, B,1,1,0,0,0,0,1,1,1,0,0,1,1,assistant licensing coordinator,MH
Utah,3,salt lake city,2,1,0,admin, A,1,1,0,0,0,0,1,0,1,0,1,1,1,assistant licensing coordinator,MB
Utah,1,salt lake city,1,1,0,admin, C,1,1,0,0,0,0,1,1,0,1,0,1,1,assistant licensing coordinator,Y
Pennsylvania,3,pittsburgh,2,0,1,sales, A,1,1,0,0,0,0,0,1,0,1,1,1,0,arhaus furniture interior sales associate,ML
Pennsylvania,2,pittsburgh,2,0,1,sales, C,1,0,0,1,0,0,0,0,1,1,1,1,1,arhaus furniture interior sales associate,MB
Pennsylvania,1,pittsburgh,1,0,1,sales, B,1,1,0,1,0,0,0,1,1,0,0,1,0,arhaus furniture interior sales associate,Y
Massachusetts,2,boston,2,0,1,sales, B,1,1,0,1,0,0,0,1,0,1,0,1,0,cosmoprof beauty ft retail sales,MH
Massachusetts,3,boston,2,0,1,sales, A,1,0,0,1,0,0,0,1,1,0,1,1,0,cosmoprof beauty ft retail sales,ML
Massachusetts,1,boston,1,0,1,sales, C,1,1,0,1,0,0,0,0,0,1,1,1,0,cosmoprof beauty ft retail sales,Y
New York,2,new york,2,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,ML
New York,1,new york,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,OBE
New York,3,new york,1,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,Y
Arizona,3,phoenix,1,1,1,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0, looking for an awesome receptionist office assistant,Y
Arizona,1,phoenix,3,1,1,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0, looking for an awesome receptionist office assistant,OH
Arizona,2,phoenix,2,1,1,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,1, looking for an awesome receptionist office assistant,MB
Michigan,1,birmingham,1,0,0,sales, C,0,1,0,0,0,0,0,1,1,1,1,1,1,calling all edm kids,Y
Michigan,3,birmingham,3,0,0,sales, A,1,0,0,1,0,0,0,0,1,1,1,1,1,calling all edm kids,OH
Michigan,2,birmingham,3,0,0,sales, B,0,0,0,1,0,0,0,1,1,1,1,1,1,calling all edm kids,OBE
Utah,2,salt lake city,1,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,1,flower patch customer service,Y
Utah,3,salt lake city,2,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,flower patch customer service,MB
Utah,1,salt lake city,2,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,flower patch customer service,MH
Michigan,3,birmingham,3,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,campaign and events coordinator,OBE
Michigan,1,birmingham,1,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,campaign and events coordinator,Y
Michigan,2,birmingham,2,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,campaign and events coordinator,MH
Florida,1,sarasota,2,0,0,sales, C,1,1,0,1,0,0,0,0,1,0,1,1,1,interior decorator trainee furniture sales,ML
Florida,3,sarasota,1,0,0,sales, B,1,1,0,1,0,0,0,1,1,0,0,1,1,interior decorator trainee furniture sales,Y
Florida,2,sarasota,3,0,0,sales, A,1,0,0,1,0,0,0,1,1,1,0,1,1,interior decorator trainee furniture sales,OL
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,1,administrative assistant financial industry,Y
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant financial industry,OL
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant financial industry,OBE
Michigan,1,birmingham,1,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,1, skin care brand needs reps,Y
Michigan,2,birmingham,2,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,1, skin care brand needs reps,MH
Michigan,3,birmingham,3,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0, skin care brand needs reps,OBE
Florida,1,sarasota,2,1,1,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,furniture sales associate,ML
Florida,2,sarasota,2,1,1,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,furniture sales associate,MH
Florida,3,sarasota,1,1,1,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,furniture sales associate,Y
Michigan,1,birmingham,2,1,1,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,clerical,MB
Michigan,3,birmingham,1,1,1,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,clerical,Y
Michigan,2,birmingham,3,1,1,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,clerical,OBL
Florida,3,sarasota,3,1,0,admin, A,1,1,0,0,0,0,0,1,1,0,1,1,0, dental office manager,OH
Florida,1,sarasota,3,1,0,admin, C,1,0,0,0,0,0,1,1,1,0,1,1,0, dental office manager,OL
Florida,2,sarasota,1,1,0,admin, B,1,1,0,0,0,0,1,1,0,0,1,1,0, dental office manager,Y
Michigan,3,birmingham,2,1,0,admin, A,1,1,0,0,0,0,0,1,1,1,0,1,1,front desk attendant,MH
Michigan,2,birmingham,1,1,0,admin, B,1,1,0,0,0,0,1,1,0,1,0,1,0,front desk attendant,Y
Michigan,1,birmingham,3,1,0,admin, C,1,1,0,0,0,0,1,0,1,0,1,1,0,front desk attendant,OH
Michigan,3,birmingham,2,0,0,sales, B,1,1,0,1,0,0,0,0,1,1,0,1,0,retail online sales associate wanted,ML
